district,road_slot,lat,lon,customer_id,demand
Pontianak City,II,-0.0279570826265346,109.34141952817949,C02_001,1.660934072833945
Pontianak City,II,-0.0291584281368849,109.33955266574416,C02_002,1.1583176596280784
Pontianak City,II,-0.029443548894793,109.33535811779836,C02_003,1.7878968798670738
Pontianak City,II,-0.0279514710921699,109.3336238961829,C02_004,1.546052043589046
Pontianak City,II,-0.0263597701128479,109.34401498022804,C02_005,0.6412660218314743
Pontianak City,II,-0.0273928290168358,109.3408831700514,C02_006,1.963433527455134
Pontianak City,II,-0.0256679624197934,109.3435922165378,C02_007,1.6417095529855295
Pontianak City,II,-0.0272427867153743,109.3397863797564,C02_008,1.6790964579154308
Pontianak City,II,-0.0251301365727417,109.34297269097692,C02_009,0.6921704490133188
Pontianak City,II,-0.0253571637467718,109.34247721060636,C02_010,1.1755789068433506
Pontianak City,II,-0.0266211275542203,109.3393905448279,C02_011,1.056197036348872
Pontianak City,II,-0.0246820766948147,109.3424176307504,C02_012,1.8901474832729028
Pontianak City,II,-0.0254381375044753,109.34049032863456,C02_013,1.4657976801209969
Pontianak City,II,-0.0239085572113169,109.34213811933436,C02_014,1.734142419906245
Pontianak City,II,-0.0257577329635354,109.34408761980946,C02_015,1.1651212982409966
Pontianak City,II,-0.0256450488706391,109.33854571718106,C02_016,0.8408580826771653
Pontianak City,II,-0.0236708373287602,109.34194454583516,C02_017,1.3318771805237521
Pontianak City,II,-0.024848067107231,109.33884936199011,C02_018,0.5957258841562629
Pontianak City,II,-0.0243727920838582,109.3387537992036,C02_019,1.741446757988873
Pontianak City,II,-0.0229464241737782,109.34061605744444,C02_020,1.4474965986830972
Pontianak City,II,-0.0242578608632165,109.33769632290571,C02_021,1.6371316101280606
Pontianak City,II,-0.0221649360203662,109.3402052813501,C02_022,1.0317889521948025
Pontianak City,II,-0.020705331370148,109.3369152603864,C02_023,1.9560470365923548
Pontianak City,II,-0.0223172601012456,109.33418149448352,C02_024,1.8396816819832966
Pontianak City,II,-0.023712880334173,109.33325533272784,C02_025,1.6675752456106427
Pontianak City,II,-0.0208824083907529,109.33400598008222,C02_026,0.7919580617779514
Pontianak City,II,-0.0194293897234721,109.33396413781152,C02_027,1.2000815055905512
Pontianak City,II,-0.0199440447905874,109.33304434013046,C02_028,0.5657056486808432
Pontianak City,II,-0.0209495482689757,109.3314967248841,C02_029,0.7314342381013217
Pontianak City,II,-0.0185276595548697,109.33256445978247,C02_030,1.524573429863682
Pontianak City,II,-0.0187868740860373,109.32974933530292,C02_031,1.6171432338617258
Pontianak City,II,-0.0201606841139747,109.32604768478964,C02_032,1.951264598651315
