district,road_slot,lat,lon,customer_id,demand
Pontianak East,I,-0.0251224444067024,109.36238083960534,C06_001,1.660934072833945
Pontianak East,I,-0.0229867409887592,109.3626950534182,C06_002,1.1583176596280784
Pontianak East,I,-0.024273287216351,109.3625740846266,C06_003,1.7878968798670738
Pontianak East,I,-0.0248121945667107,109.36246838653524,C06_004,1.546052043589046
Pontianak East,I,-0.0157153156251572,109.36280087157888,C06_005,0.6412660218314743
Pontianak East,I,-0.0342110649691982,109.35672797579517,C06_006,1.963433527455134
Pontianak East,I,-0.0339767764661118,109.35709774066414,C06_007,1.6417095529855295
Pontianak East,I,-0.0335776516424062,109.3577425759827,C06_008,1.6790964579154308
Pontianak East,I,-0.0309103892563025,109.36049032248016,C06_009,0.6921704490133188
Pontianak East,I,-0.0282845776046651,109.36149515525295,C06_010,1.1755789068433506
Pontianak East,I,-0.0347382618507083,109.35593358056708,C06_011,1.056197036348872
